id,director_name,duration,genres,movie_title,language,country,title_year,stars
594,William Cottrell,83,Animation|Family|Fantasy|Musical,Snow White and the Seven Dwarfs ,English,USA,1937,Adriana Caselotti|Lucille La Verne|Lucille La Verne
596,Norman Ferguson,88,Animation|Family|Fantasy|Musical,Pinocchio ,English,USA,1940,Mel Blanc|Cliff Edwards|Cliff Edwards
599,Sam Peckinpah,144,Action|Adventure|Western,The Wild Bunch ,English,USA,1969,William Holden|L.Q. Jones|L.Q. Jones
111,Martin Scorsese,110,Crime|Drama,Taxi Driver ,English,USA,1976,Robert De Niro|Peter Boyle|Peter Boyle
260,George Lucas,125,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode IV - A New Hope ,English,USA,1977,Harrison Ford|Kenny Baker|Kenny Baker
610,Gerald Potterton,90,Adventure|Animation|Fantasy|Horror|Sci-Fi,Heavy Metal ,English,Canada,1981,John Vernon|Don Francks|Don Francks
541,Ridley Scott,117,Sci-Fi|Thriller,Blade Runner ,English,USA,1982,Harrison Ford|M. Emmet Walsh|M. Emmet Walsh
592,Tim Burton,126,Action|Adventure,Batman ,English,USA,1989,Michael Gough|William Hootkins|William Hootkins
590,Kevin Costner,236,Adventure|Drama|Western,Dances with Wolves ,English,USA,1990,Mary McDonnell|Maury Chaykin|Maury Chaykin
587,Jerry Zucker,127,Drama|Fantasy|Romance|Thriller,Ghost ,English,USA,1990,Demi Moore|Phil Leeds|Phil Leeds
586,Chris Columbus,103,Comedy|Family,Home Alone ,English,USA,1990,Macaulay Culkin|Catherine O'Hara|Catherine O'Hara
597,Garry Marshall,125,Comedy|Romance,Pretty Woman ,English,USA,1990,Julia Roberts|Jason Alexander|Jason Alexander
593,Jonathan Demme,138,Crime|Drama|Horror|Thriller,The Silence of the Lambs ,English,USA,1991,Anthony Hopkins|Anthony Heald|Anthony Heald
589,James Cameron,153,Action|Sci-Fi,Terminator 2: Judgment Day ,English,USA,1991,Joe Morton|S. Epatha Merkerson|S. Epatha Merkerson
588,Ron Clements,90,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Aladdin ,English,USA,1992,Robin Williams|Scott Weinger|Scott Weinger
122,Reginald Hudlin,117,Comedy|Drama|Romance,Boomerang ,English,USA,1992,John Witherspoon|Geoffrey Holder|Geoffrey Holder
412,Martin Scorsese,139,Drama|Romance,The Age of Innocence ,English,USA,1993,Richard E. Grant|Stuart Wilson|Stuart Wilson
434,Renny Harlin,124,Action|Adventure|Thriller,Cliffhanger ,English,USA,1993,Sylvester Stallone|Janine Turner|Janine Turner
441,Richard Linklater,102,Comedy,Dazed and Confused ,English,USA,1993,Milla Jovovich|Cole Hauser|Cole Hauser
454,Sydney Pollack,154,Drama|Mystery|Thriller,The Firm ,English,USA,1993,Tom Cruise|Wilford Brimley|Wilford Brimley
457,Andrew Davis,130,Action|Adventure|Crime|Drama|Mystery|Thriller,The Fugitive ,English,USA,1993,Harrison Ford|Sela Ward|Sela Ward
480,Steven Spielberg,127,Adventure|Sci-Fi|Thriller,Jurassic Park ,English,USA,1993,Wayne Knight|Bob Peck|Bob Peck
485,John McTiernan,130,Action|Adventure|Comedy|Fantasy,Last Action Hero ,English,USA,1993,F. Murray Abraham|Joan Plowright|Joan Plowright
493,Albert Hughes,97,Crime|Drama|Thriller,Menace II Society ,English,USA,1993,Jada Pinkett Smith|Khandi Alexander|Khandi Alexander
500,Chris Columbus,125,Comedy|Drama|Family|Romance,Mrs. Doubtfire ,English,USA,1993,Robin Williams|Matthew Lawrence|Matthew Lawrence
497,Kenneth Branagh,111,Comedy|Drama|Romance,Much Ado About Nothing ,English,UK,1993,Keanu Reeves|Brian Blessed|Brian Blessed
508,Jonathan Demme,125,Drama,Philadelphia ,English,USA,1993,Denzel Washington|Jason Robards|Jason Robards
509,Jane Campion,121,Drama|Music|Romance,The Piano ,English,New Zealand,1993,Holly Hunter|Geneviève Lemon|Geneviève Lemon
510,John Singleton,109,Drama|Romance,Poetic Justice ,English,USA,1993,Janet Jackson|Maya Angelou|Maya Angelou
515,James Ivory,134,Drama|Romance,The Remains of the Day ,English,UK,1993,Anthony Hopkins|Ben Chaplin|Ben Chaplin
519,Fred Dekker,104,Action|Crime|Sci-Fi|Thriller,RoboCop 3 ,English,USA,1993,CCH Pounder|Mako|Mako
521,Peter Medak,100,Action|Crime|Drama|Thriller,Romeo Is Bleeding ,English,UK,1993,Gary Oldman|Lena Olin|Lena Olin
523,Victor Nunez,114,Drama|Romance,Ruby in Paradise ,English,USA,1993,Allison Dean|Dorothy Lyman|Dorothy Lyman
527,Steven Spielberg,185,Biography|Drama|History,Schindler's List ,English,USA,1993,Liam Neeson|Caroline Goodall|Caroline Goodall
