userId,movieId,rating,predicted,rating_binary_k_1,rating_q_k_1,rating_binary_k_2,rating_q_k_2,rating_binary_k_3,rating_q_k_3,rating_binary_k_4,rating_q_k_4,rating_binary_k_5,rating_q_k_5,rating_binary_k_6,rating_q_k_6,rating_binary_k_7,rating_q_k_7,rating_binary_k_8,rating_q_k_8,rating_binary_k_9,rating_q_k_9,rating_binary_k_10,rating_q_k_10
14,19,1.0,2.776735179551649,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,,2.0,,5.0,,3.0,
58,19,1.0,3.559456864271815,4.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0
58,344,1.0,2.9088024134270043,4.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0
68,357,1.0,3.1927676404322685,1.0,1.5,3.5,3.0,3.0,3.5,5.0,4.0,2.5,3.5,3.0,2.0,4.5,3.0,4.0,3.5,4.0,3.0,3.5,1.0
68,420,1.0,3.2017481683563336,3.5,4.5,3.5,1.0,4.5,4.0,3.0,3.0,1.0,1.5,3.0,4.0,2.0,4.0,2.5,3.5,2.5,3.0,3.0,4.0
71,17,1.0,2.2653181369659467,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,,2.0,,4.0,,4.0,,3.0,,,
81,367,1.0,3.442621947061502,3.0,3.0,4.0,3.0,1.0,3.0,5.0,1.0,3.0,3.0,2.0,3.0,3.0,,3.0,,4.0,,2.0,
91,374,1.0,3.9344034243920176,3.0,4.0,4.5,2.0,4.5,4.0,3.0,4.0,4.5,4.0,1.5,3.5,2.5,4.5,4.5,4.5,2.0,3.0,4.0,1.5
100,235,1.0,4.003491022775941,4.5,4.5,4.0,4.0,4.5,1.0,4.5,3.5,4.0,4.5,4.5,4.5,4.5,,4.0,,4.0,,3.5,
110,374,1.0,3.8063960873092335,4.5,4.5,4.5,3.5,3.5,4.0,4.0,,4.0,,4.0,,,,,,,,,
191,39,1.0,3.867352023752405,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0
223,34,1.0,3.1625310905570965,4.5,3.5,3.5,3.0,3.5,3.5,3.0,,3.0,,3.0,,3.5,,2.5,,3.0,,1.0,
262,48,1.0,2.9979836965450315,5.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,
294,255,1.0,2.265806509193549,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0
297,170,1.0,3.5000429593525464,1.0,5.0,2.0,2.0,4.0,1.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,
307,434,1.0,1.5877523247292775,4.5,1.5,3.5,3.0,3.5,2.0,4.5,3.5,4.0,4.5,4.5,3.0,2.5,2.0,2.0,3.0,4.5,2.0,2.5,3.0
308,223,1.0,2.169617792680865,3.0,4.0,1.0,2.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,
314,327,1.0,2.839750844746924,2.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0
381,586,1.0,3.1665358848206924,3.5,4.5,4.0,2.5,3.5,4.5,3.5,3.0,3.0,3.5,3.5,3.5,3.0,2.0,4.0,3.5,4.0,3.5,3.5,
428,165,1.0,1.8675156262254704,3.0,2.5,2.0,2.0,3.0,2.5,1.0,3.0,1.5,1.5,2.5,2.5,1.0,3.0,2.5,3.0,2.5,2.0,1.0,3.5
431,158,1.0,4.003648391266734,5.0,3.0,2.5,,3.0,,,,,,,,,,,,,,,
446,168,1.0,3.0433566601230795,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0
474,122,1.0,3.5410023401619384,4.0,2.5,5.0,4.0,5.0,4.0,3.5,4.0,5.0,3.5,4.0,3.0,4.0,3.5,2.0,5.0,4.0,3.0,4.0,3.5
485,231,1.0,3.672982183966429,5.0,5.0,4.0,4.0,5.0,3.0,3.0,,5.0,,4.0,,4.0,,4.0,,5.0,,4.0,
494,344,1.0,2.3333420422308406,5.0,5.0,5.0,,5.0,,3.0,,2.0,,,,,,,,,,,
500,471,1.0,3.582667764273744,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,,4.0,,1.0,,4.0,,3.0,
536,357,1.0,3.318538054196873,1.0,5.0,3.0,5.0,2.0,,1.0,,3.0,,3.0,,5.0,,3.0,,5.0,,5.0,
559,374,1.0,4.283439326731158,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0
584,193,1.0,3.473003968149347,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0
584,344,1.0,3.872642024687607,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,1.0,3.0,3.0
597,485,1.0,3.779384317600665,5.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0
602,586,1.0,4.16419591016181,3.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0
604,19,1.0,2.909599037911491,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
608,519,1.0,2.543385322705601,0.5,0.5,2.0,2.0,3.0,3.5,5.0,2.0,3.0,0.5,2.5,4.0,1.0,3.0,2.5,4.5,2.5,0.5,2.0,3.5
11,376,2.0,3.812610782110624,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,,4.0,,3.0,
19,153,2.0,2.5954357447318848,2.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0
81,364,2.0,3.0121861105163097,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,,1.0,,3.0,,2.0,
91,158,2.0,2.8804392019231577,4.0,2.0,4.0,4.5,3.5,5.0,4.5,4.5,4.5,1.5,4.0,3.0,2.5,4.0,3.0,3.5,1.5,1.5,3.0,4.0
99,196,2.0,3.3962474260290465,5.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0
109,315,2.0,2.4453532567189296,4.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0
117,44,2.0,3.7947939911077335,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0
132,1,2.0,2.995664417727119,4.0,2.5,2.0,4.0,4.5,2.5,2.0,1.5,2.0,3.0,2.0,2.0,3.5,4.0,4.0,3.0,4.0,2.0,3.0,
195,165,2.0,2.8630855868912195,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,,5.0,,4.0,,4.0,
217,44,2.0,3.257997304605467,3.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,2.0
287,62,2.0,2.963900271895139,2.0,1.0,1.5,2.0,5.0,3.5,1.5,4.0,2.5,,4.5,,3.5,,4.0,,1.0,,2.5,
292,344,2.0,2.349079065562845,4.0,3.0,4.0,4.0,3.5,4.0,3.0,1.5,4.0,3.5,3.5,2.5,4.0,3.0,5.0,2.0,4.0,3.5,3.5,
294,357,2.0,2.1554480617844027,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0
294,532,2.0,2.7070489057142044,3.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0
297,338,2.0,3.156887197942842,1.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,
307,292,2.0,2.2413260207042587,4.5,4.0,3.5,4.0,3.5,2.5,2.0,3.5,4.0,4.5,4.5,3.0,4.0,4.5,4.0,2.0,2.0,3.0,2.0,4.5
328,39,2.0,2.721497824251357,5.0,1.0,5.0,5.0,2.5,4.0,5.0,4.5,1.0,3.0,1.5,5.0,3.0,,4.0,,2.0,,5.0,
328,111,2.0,3.2757718455007483,5.0,5.0,4.5,4.5,2.5,5.0,5.0,3.0,1.5,4.0,1.0,1.0,1.0,,2.0,,2.0,,3.5,
341,480,2.0,3.688974290776768,5.0,5.0,3.5,,4.5,,,,,,,,,,,,,,,
377,19,2.0,3.5630201445872816,4.0,5.0,3.0,4.0,5.0,,,,,,,,,,,,,,,
387,193,2.0,2.381446577630073,3.5,3.5,2.0,1.0,4.5,2.5,4.5,2.5,3.5,4.5,3.5,3.5,4.0,4.5,3.0,2.5,4.0,4.5,2.5,2.5
414,81,2.0,3.66590563989684,3.0,2.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0
434,95,2.0,3.497850121324636,4.0,5.0,2.5,4.0,3.0,5.0,5.0,2.5,2.5,3.0,4.5,4.5,3.0,3.0,3.5,4.0,4.0,,4.0,
446,434,2.0,1.9351467753281475,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0
447,586,2.0,3.892225862787567,4.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,,4.0,,5.0,
464,344,2.0,3.4488546650304395,4.5,4.0,5.0,3.0,5.0,5.0,5.0,4.5,1.5,5.0,5.0,4.0,4.0,,5.0,,5.0,,4.5,
469,588,2.0,3.152028263218432,4.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0
480,69,2.0,3.999875437067541,4.0,4.0,3.5,4.0,3.0,2.0,4.0,3.5,4.0,2.5,4.0,3.0,4.5,2.5,2.5,3.0,4.5,3.0,3.5,3.5
482,16,2.0,4.137457939908221,4.0,4.0,1.0,1.0,4.0,,3.0,,4.0,,4.0,,,,,,,,,
524,405,2.0,3.779778408256059,4.0,3.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0
530,380,2.0,2.105725949049046,4.0,3.0,4.0,4.0,3.0,,3.0,,4.0,,5.0,,4.0,,5.0,,5.0,,3.0,
559,255,2.0,2.6742534598347167,2.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0
561,44,2.0,3.7294436224551184,5.0,5.0,2.5,4.5,4.0,4.0,4.5,2.5,3.0,3.0,4.0,4.5,4.5,3.0,4.0,,2.5,,1.5,
597,145,2.0,4.801093122726054,4.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0
18,374,2.5,4.024317557409844,4.5,4.0,4.5,4.5,2.5,4.5,4.0,3.5,4.0,5.0,4.5,4.5,4.5,2.5,4.0,4.0,5.0,2.5,3.5,4.0
21,586,2.5,3.974166631346687,3.5,2.5,4.5,3.5,5.0,1.0,3.0,5.0,2.5,3.0,3.5,3.0,4.0,,2.5,,3.0,,2.0,
63,480,2.5,3.2320151487049733,3.0,2.5,5.0,5.0,3.0,5.0,3.0,4.0,4.0,1.0,4.0,3.0,5.0,3.0,5.0,,5.0,,2.5,
64,160,2.5,3.307020808831364,5.0,3.0,4.5,4.0,4.5,3.5,5.0,3.5,4.0,3.0,4.0,4.0,2.5,4.5,2.0,4.0,4.0,5.0,4.0,3.5
68,1,2.5,3.7502052416595353,2.0,1.5,5.0,3.5,3.0,4.5,4.5,4.0,3.0,4.0,3.5,1.0,3.0,3.0,4.0,2.0,3.5,3.0,2.0,4.5
68,160,2.5,3.2891653586007297,3.5,3.5,3.0,1.5,3.0,2.0,4.0,4.5,4.5,3.5,3.5,3.5,3.0,4.0,3.5,3.0,2.0,3.5,3.0,4.0
68,317,2.5,2.662217482790424,3.0,3.5,2.0,3.5,3.5,4.5,5.0,3.5,2.5,3.0,3.0,3.0,4.5,4.0,4.0,3.5,3.5,2.0,4.0,1.5
111,34,2.5,3.644583280491805,4.5,4.0,3.5,3.5,4.5,4.5,3.5,3.5,3.0,4.0,4.0,,3.5,,4.0,,2.5,,0.5,
111,480,2.5,4.040918862927937,4.5,4.5,0.5,3.5,3.0,4.0,3.5,4.0,2.5,3.5,2.5,,4.0,,4.0,,4.0,,4.5,
112,329,2.5,2.109257506402611,1.5,5.0,0.5,4.0,3.5,2.5,0.5,5.0,0.5,3.5,1.5,0.5,4.0,2.0,1.5,0.5,0.5,0.5,2.0,4.0
182,377,2.5,2.4047604912189544,5.0,2.5,3.0,3.0,4.0,3.5,3.5,4.5,3.5,4.5,3.0,3.5,2.5,3.5,3.5,4.0,4.5,4.5,4.5,1.5
212,260,2.5,2.0646338742823653,3.5,,3.0,,3.5,,4.5,,3.0,,3.0,,3.5,,4.0,,,,,
264,151,2.5,3.796337087677238,4.0,4.0,3.0,3.0,2.5,4.0,4.5,2.5,3.5,,2.0,,4.0,,3.5,,4.0,,4.0,
298,231,2.5,2.1883149505545925,4.0,3.5,3.5,2.0,4.0,4.0,3.5,3.5,3.0,2.0,3.0,2.5,4.5,4.0,2.5,,4.0,,4.0,
307,10,2.5,3.674236788722992,2.5,2.5,3.5,3.0,4.5,4.0,1.5,2.0,4.0,3.5,4.5,4.5,3.0,2.0,3.0,2.0,4.5,4.5,3.5,2.0
307,594,2.5,2.264465724721026,4.5,3.0,2.5,4.5,1.5,2.0,4.5,4.5,4.0,3.5,4.5,4.0,3.0,3.5,4.5,3.5,3.0,2.5,4.0,4.5
387,348,2.5,2.527963887568408,4.5,2.5,4.0,3.5,3.5,2.5,4.5,1.0,3.5,4.5,2.5,3.5,4.0,2.5,2.5,4.5,4.0,2.5,1.0,2.5
387,500,2.5,3.619296672988808,4.0,1.0,4.0,4.5,3.5,2.5,2.5,3.5,4.5,2.5,3.5,3.5,2.5,4.5,3.5,3.5,4.0,2.5,3.0,2.5
387,588,2.5,2.9889355051146613,4.0,2.5,2.0,2.5,3.5,3.5,3.0,4.5,4.5,3.5,4.5,1.0,4.0,4.5,4.0,2.5,2.5,2.5,2.5,3.5
425,434,2.5,2.098666391568955,3.0,2.5,3.0,3.5,4.5,3.5,3.5,3.5,4.0,3.0,3.5,4.5,3.0,3.0,4.0,3.0,3.5,4.0,3.5,4.5
425,586,2.5,3.794062364381909,3.5,3.0,3.0,4.5,3.5,3.0,3.0,4.0,2.5,3.5,3.0,3.0,3.0,4.5,3.5,3.5,3.0,3.0,3.5,3.5
474,11,2.5,4.450075015130642,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.5,4.0,4.0,2.5,3.5,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.5
480,168,2.5,3.4383958546528848,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,2.5,5.0,3.5,2.5,3.5,5.0,4.5,4.0,3.5,5.0,3.0
480,380,2.5,2.104674439096841,4.0,4.0,3.0,4.0,4.0,3.0,1.0,3.5,2.5,3.0,5.0,2.0,1.0,3.0,4.0,2.5,4.5,2.5,3.0,4.5
539,374,2.5,3.454079435938583,4.0,,2.0,,3.5,,,,,,,,,,,,,,,
552,161,2.5,3.444835222449252,1.5,3.0,1.5,1.5,3.5,3.0,3.0,3.5,3.0,,2.5,,3.5,,4.0,,3.5,,4.0,
552,497,2.5,2.4759445297289053,3.0,1.5,4.0,3.0,3.0,3.5,4.0,3.0,4.0,,1.5,,2.5,,3.5,,3.5,,4.0,
580,231,2.5,2.425499626901792,4.5,2.5,5.0,4.0,5.0,4.0,3.0,5.0,2.5,3.5,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0
583,593,2.5,2.876443050406122,4.0,3.0,4.0,,3.0,,4.0,,3.5,,2.0,,,,,,,,,
593,231,2.5,2.2552477143955656,4.5,4.0,2.0,4.5,4.0,3.0,3.0,4.0,3.5,,4.0,,2.5,,3.5,,3.5,,4.5,
599,376,2.5,3.022130154928301,3.0,1.5,1.5,3.5,2.0,3.0,3.0,2.5,3.0,2.5,3.0,5.0,2.5,2.5,5.0,1.0,3.5,2.5,1.5,2.5
599,553,2.5,2.509980326501986,1.0,3.0,2.0,1.5,3.5,3.0,2.5,3.5,2.5,2.5,2.5,2.5,2.0,3.5,3.0,3.5,2.0,3.0,2.5,1.5
