movieId,companies,director,genres,keywords,stars,title,writers,year
1,Pixar Animation Studios|Walt Disney Pictures,John Lasseter,Family|Fantasy|Comedy|Adventure|Animation,claw crane|toy|cgi animation|cowboy|rivalry,Don Rickles|Tim Allen|Tom Hanks,Toy Story,Pete Docter|John Lasseter,1995
32,Atlas Entertainment|Universal Pictures|Classico,Terry Gilliam,Mystery|Thriller|Sci-Fi,mental institution|time travel|underground|psychiatrist|virus,Brad Pitt|Madeleine Stowe|Bruce Willis,Doce monos,Chris Marker|David Webb Peoples,1995
47,New Line Cinema|Juno Pix|Cecchi Gori Pictures,David Fincher,Mystery|Thriller|Drama|Crime,human monster|serial murder|seven deadly sins|serial killer|psychological torture,Morgan Freeman|Brad Pitt|Kevin Spacey,Seven,Andrew Kevin Walker,1995
50,Spelling Films International|PolyGram Filmed Entertainment|Blue Parrot,Bryan Singer,Mystery|Thriller|Crime,burying a body|suspect|criminal mastermind|dirty cop|criminal,Gabriel Byrne|Chazz Palminteri|Kevin Spacey,Sospechosos habituales,Christopher McQuarrie,1995
110,The Ladd Company|B.H. Finance C.V.|Icon Entertainment International,Mel Gibson,War|Biography|Drama|History,legend|14th century|revolt|scotland|england,Patrick McGoohan|Sophie Marceau|Mel Gibson,Braveheart,Randall Wallace,1995
150,Universal Pictures|Imagine Entertainment,Ron Howard,Adventure|Drama|History,cape kennedy|astronaut|trapped in space|disaster|space disaster,Kevin Bacon|Bill Paxton|Tom Hanks,Apolo 13,Jeffrey Kluger|Jim Lovell,1995
165,Cinergi Pictures Entertainment|Twentieth Century Fox,John McTiernan,Action|Thriller|Adventure,time bomb|john mcclane character|male butt clench|good versus evil|bomb,Jeremy Irons|Samuel L. Jackson|Bruce Willis,Jungla de cristal: La venganza,Roderick Thorp|Jonathan Hensleigh,1995
260,Lucasfilm|Twentieth Century Fox,George Lucas,Action|Adventure|Fantasy|Sci-Fi,droid|galactic war|empire|princess|rebellion,Carrie Fisher|Mark Hamill|Harrison Ford,La guerra de las galaxias,George Lucas,1977
296,Jersey Films|A Band Apart|Miramax,Quentin Tarantino,Drama|Crime,nonlinear timeline|black comedy|overdose|drug use|bondage,John Travolta|Uma Thurman|Samuel L. Jackson,Pulp Fiction,Quentin Tarantino|Roger Avary,1994
318,Castle Rock Entertainment,Frank Darabont,Drama,prison|voice over narration|escape from prison|based on the works of stephen king|wrongful imprisonment,Morgan Freeman|Tim Robbins|Bob Gunton,Cadena perpetua,Stephen King|Frank Darabont,1994
