id,companies,director,genres,keywords,stars,title,writers,year,Brian De Palma,Chris Columbus,Steven Spielberg,Lana Wachowski,Francis Ford Coppola,Andrew Adamson,M. Night Shyamalan,Richard Marquand,Kevin Costner,John McTiernan,Frank Darabont,Tom Shadyac,Ron Howard,Gary Trousdale,Christopher Nolan,Jan de Bont,Quentin Tarantino,David Fincher,Terry Gilliam,George Lucas,Mel Gibson,Roland Emmerich,Roger Allers,Jonathan Demme,Sam Mendes,Bryan Singer,Ron Clements,Robert Zemeckis,Irvin Kershner,Gore Verbinski,Joel Coen,Barry Sonnenfeld,John Lasseter,Peter Jackson,Tim Burton,Ridley Scott,James Cameron,Chuck Russell,Andrew Davis,Romance,Drama,Animation,Adventure,Western,Fantasy,Comedy,Musical,History,War,Mystery,Action,Family,Biography,Crime,Thriller,Sci-Fi,Horror,Bob Gunton,Carrie Fisher,Sela Ward,Matthew Broderick,Orlando Bloom,Ralph Fiennes,Mary McDonnell,Michael Keaton,Toni Collette,Keanu Reeves,Sally Field,Madeleine Stowe,Morgan Freeman,Peter Riegert,Michael J. Fox,Jeremy Irons,Ben Kingsley,John Travolta,Jodie Foster,James Earl Jones,Jim Carrey,Dennis Hopper,Linda Larkin,Gabriel Byrne,Thora Birch,Tim Robbins,Marlon Brando,James Caan,Tommy Lee Jones,Kevin Spacey,Linda Fiorentino,Sigourney Weaver,Arnold Schwarzenegger,Graham Greene,Sandra Bullock,Uma Thurman,Paul Freeman,Brad Pitt,William H. Macy,Chazz Palminteri,Carrie-Anne Moss,Pierce Brosnan,Linda Hamilton,Paige OHara,Robin Williams,Samuel L. Jackson,Eddie Murphy,Joaquin Phoenix,Elijah Wood,Johnny Depp,Don Rickles,Connie Nielsen,Gary Sinise,Bonnie Bedelia,Scott Weinger,Edward Furlong,Russell Crowe,Jesse Corti,Tom Skerritt,Jeff Goldblum,Mark Hamill,Jamie Lee Curtis,Tom Sizemore,Will Smith,John Hurt,Cameron Diaz,Tom Arnold,Bill Pullman,Edward Norton,Christopher Lloyd,Geoffrey Rush,Al Pacino,Aaron Eckhart,Patrick McGoohan,Jon Voight,Kim Basinger,Steve Buscemi,Lea Thompson,Emmanuelle Béart,Matt Damon,Haley Joel Osment,Heath Ledger,Kevin Bacon,Tim Allen,Guy Pearce,Meat Loaf,Mike Myers,Robin Wright,Tom Hanks,Joe Pantoliano,Karen Allen,Courteney Cox,Harrison Ford,Bill Paxton,Tom Cruise,Sean Young,Alan Rickman,Ian McKellen,Jack Nicholson,Sam Neill,Sophie Marceau,Frances McDormand,Viggo Mortensen,Anthony Hopkins,Christian Bale,Robby Benson,Laurence Fishburne,Annette Bening,Liam Neeson,Bruce Willis,Lawrence A. Bonney,Laura Dern,Jim Lovell,Anne Fine,David Twohy,Lawrence Kasdan,David Koepp,Ted Tally,Winston Groom,Mario Puzo,Alan Ball,Simon Michaël,Michael Crichton,Bob Gale,Andrew Kevin Walker,Roderick Thorp,Roger Avary,Dean Devlin,Lowell Cunningham,Bob Kane,Sam Hamm,Thomas Harris,John Musker,Chuck Palahniuk,Irene Mecchi,Leigh Brackett,David Franzoni,Jeffrey Kluger,William Wisher,Linda Woolverton,Fran Walsh,Steven Zaillian,Michael Fallon,Ethan Coen,Pete Docter,Bruce Geller,Thomas Keneally,Claude Zidi,Jack Bernstein,Mark Verheiden,Jeb Stuart,Graham Yost,Michael Blake,Jim Uhls,J.R.R. Tolkien,David Webb Peoples,Jonathan Hensleigh,Stephen King,Christopher McQuarrie,Lilly Wachowski,Jonathan Nolan,Brenda Chapman,Ed Solomon,Chris Marker,Jonathan Roberts,Ronald Shusett,Ted Elliott,Randi Mayem Singer,Terry Rossio,William Steig,Robert Rodat,Dan OBannon,Randall Wallace,Eric Roth
1,Pixar Animation Studios|Walt Disney Pictures,John Lasseter,Family|Fantasy|Comedy|Adventure|Animation,claw crane|toy|cgi animation|cowboy|rivalry,Don Rickles|Tim Allen|Tom Hanks,Toy Story,Pete Docter|John Lasseter,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Atlas Entertainment|Universal Pictures|Classico,Terry Gilliam,Mystery|Thriller|Sci-Fi,mental institution|time travel|underground|psychiatrist|virus,Brad Pitt|Madeleine Stowe|Bruce Willis,Doce monos,Chris Marker|David Webb Peoples,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,New Line Cinema|Juno Pix|Cecchi Gori Pictures,David Fincher,Mystery|Thriller|Drama|Crime,human monster|serial murder|seven deadly sins|serial killer|psychological torture,Morgan Freeman|Brad Pitt|Kevin Spacey,Seven,Andrew Kevin Walker,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Spelling Films International|PolyGram Filmed Entertainment|Blue Parrot,Bryan Singer,Mystery|Thriller|Crime,burying a body|suspect|criminal mastermind|dirty cop|criminal,Gabriel Byrne|Chazz Palminteri|Kevin Spacey,Sospechosos habituales,Christopher McQuarrie,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,The Ladd Company|B.H. Finance C.V.|Icon Entertainment International,Mel Gibson,War|Biography|Drama|History,legend|14th century|revolt|scotland|england,Patrick McGoohan|Sophie Marceau|Mel Gibson,Braveheart,Randall Wallace,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,Universal Pictures|Imagine Entertainment,Ron Howard,Adventure|Drama|History,cape kennedy|astronaut|trapped in space|disaster|space disaster,Kevin Bacon|Bill Paxton|Tom Hanks,Apolo 13,Jeffrey Kluger|Jim Lovell,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Cinergi Pictures Entertainment|Twentieth Century Fox,John McTiernan,Action|Thriller|Adventure,time bomb|john mcclane character|male butt clench|good versus evil|bomb,Jeremy Irons|Samuel L. Jackson|Bruce Willis,Jungla de cristal: La venganza,Roderick Thorp|Jonathan Hensleigh,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Lucasfilm|Twentieth Century Fox,George Lucas,Action|Adventure|Fantasy|Sci-Fi,droid|galactic war|empire|princess|rebellion,Carrie Fisher|Mark Hamill|Harrison Ford,La guerra de las galaxias,George Lucas,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Jersey Films|A Band Apart|Miramax,Quentin Tarantino,Drama|Crime,nonlinear timeline|black comedy|overdose|drug use|bondage,John Travolta|Uma Thurman|Samuel L. Jackson,Pulp Fiction,Quentin Tarantino|Roger Avary,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,Castle Rock Entertainment,Frank Darabont,Drama,prison|voice over narration|escape from prison|based on the works of stephen king|wrongful imprisonment,Morgan Freeman|Tim Robbins|Bob Gunton,Cadena perpetua,Stephen King|Frank Darabont,1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
